"drink_id","beverage","calories","fat_tot","carbohydrates_tot","sugar","proteins"
166,"Iced Brewed Coffee (With Milk & Classic Syrup) (Soymilk)",170,1.5,45,33,3
167,"Shaken Iced Tazo® Tea (With Classic Syrup) (Tall)",60,0,0,15,0
168,"Shaken Iced Tazo® Tea (With Classic Syrup) (Grande)",80,0,0,21,0
169,"Shaken Iced Tazo® Tea (With Classic Syrup) (Venti)",120,0,0,31,0
170,"Shaken Iced Tazo® Tea Lemonade (With Classic Syrup) (Tall)",100,0,0,24,0.1
171,"Shaken Iced Tazo® Tea Lemonade (With Classic Syrup) (Grande)",130,0,0,33,0.1
172,"Shaken Iced Tazo® Tea Lemonade (With Classic Syrup) (Venti)",190,0,0,49,0.1
173,"Banana Chocolate Smoothie (Grande Nonfat Milk)",280,2.5,150,34,20
174,"Banana Chocolate Smoothie (2% Milk)",300,5,160,34,20
175,"Banana Chocolate Smoothie (Soymilk)",290,4.5,150,31,19
176,"Orange Mango Banana Smoothie (Grande Nonfat Milk)",260,1,120,37,16
177,"Orange Mango Banana Smoothie (2% Milk)",270,1.5,125,37,16
178,"Orange Mango Banana Smoothie (Soymilk)",270,1.5,120,36,15
179,"Strawberry Banana Smoothie (Grande Nonfat Milk)",290,1,125,41,16
180,"Strawberry Banana Smoothie (2% Milk)",290,2,125,41,16
181,"Strawberry Banana Smoothie (Soymilk)",290,2,120,40,16
182,"Coffee (Tall Nonfat Milk)",160,0.1,160,36,3
183,"Coffee (Whole Milk)",180,2.5,160,36,3
184,"Coffee (Soymilk)",160,1.5,150,34,2
185,"Coffee (Grande Nonfat Milk)",220,0.1,210,50,4
186,"Coffee (Whole Milk)",240,3,220,50,3
187,"Coffee (Soymilk)",220,1.5,210,47,3
188,"Coffee (Venti Nonfat Milk)",310,0.1,300,69,6
189,"Coffee (Whole Milk)",350,5,300,69,5
190,"Coffee (Soymilk)",310,2.5,300,66,5
191,"Mocha (Without Whipped Cream) (Tall Nonfat Milk)",180,0.5,150,40,3
192,"Mocha (Without Whipped Cream) (Whole Milk)",200,3,160,40,3
193,"Mocha (Without Whipped Cream) (Soymilk)",180,2,150,38,3
194,"Mocha (Without Whipped Cream) (Grande Nonfat Milk)",260,1,220,58,4
195,"Mocha (Without Whipped Cream) (Whole Milk)",290,4,220,58,4
196,"Mocha (Without Whipped Cream) (Soymilk)",260,2.5,220,55,4
197,"Mocha (Without Whipped Cream) (Venti Nonfat Milk)",340,1,300,76,7
198,"Mocha (Without Whipped Cream) (Whole Milk)",390,6,300,76,6
199,"Mocha (Without Whipped Cream) (Soymilk)",350,3,290,73,6
200,"Caramel (Without Whipped Cream) (Tall Nonfat Milk)",180,0.1,160,41,3
201,"Caramel (Without Whipped Cream) (Whole Milk)",200,2.5,160,41,3
202,"Caramel (Without Whipped Cream) (Soymilk)",180,1.5,150,39,2
203,"Caramel (Without Whipped Cream) (Grande Nonfat Milk)",280,0.1,220,59,4
204,"Caramel (Without Whipped Cream) (Whole Milk)",280,3.5,220,59,3
205,"Caramel (Without Whipped Cream) (Soymilk)",260,1.5,220,56,3
206,"Caramel (Without Whipped Cream) (Venti Nonfat Milk)",330,0.1,290,77,5
207,"Caramel (Without Whipped Cream) (Whole Milk)",370,5,300,77,5
208,"Caramel (Without Whipped Cream) (Soymilk)",340,2.5,290,73,5
209,"Java Chip (Without Whipped Cream) (Tall Nonfat Milk)",220,3,170,44,4
210,"Java Chip (Without Whipped Cream) (Whole Milk)",240,5,170,44,4
211,"Java Chip (Without Whipped Cream) (Soymilk)",220,4,170,42,3
212,"Java Chip (Without Whipped Cream) (Grande Nonfat Milk)",310,4,250,62,5
213,"Java Chip (Without Whipped Cream) (Whole Milk)",340,7,250,62,5
214,"Java Chip (Without Whipped Cream) (Soymilk)",310,6,240,60,4
215,"Java Chip (Without Whipped Cream) (Venti Nonfat Milk)",420,5,340,84,7
216,"Java Chip (Without Whipped Cream) (Whole Milk)",460,10,340,84,7
217,"Java Chip (Without Whipped Cream) (Soymilk)",430,8,330,80,6
218,"Coffee (Tall Nonfat Milk)",90,0.1,160,19,3
219,"Coffee (Grande Nonfat Milk)",120,0.1,210,26,3
220,"Coffee (Venti Nonfat Milk)",160,0.1,270,33,5
221,"Mocha (Tall Nonfat Milk)",110,0.5,150,23,3
222,"Mocha (Grande Nonfat Milk)",150,1,200,30,4
223,"Mocha (Venti Nonfat Milk)",210,1,280,42,6
224,"Caramel (Tall Nonfat Milk)",100,0.1,140,23,3
225,"Caramel (Grande Nonfat Milk)",150,0.1,200,32,3
226,"Caramel (Venti Nonfat Milk)",200,0.1,270,43,5
227,"Java Chip (Tall Nonfat Milk)",150,3,170,27,4
228,"Java Chip (Grande Nonfat Milk)",220,4,240,39,5
229,"Java Chip (Venti Nonfat Milk)",290,5,320,52,7
230,"Strawberries & Crème (Without Whipped Cream) (Tall Nonfat Milk)",170,0.1,140,38,3
231,"Strawberries & Crème (Without Whipped Cream) (Whole Milk)",190,3,140,37,3
232,"Strawberries & Crème (Without Whipped Cream) (Soymilk)",170,1.5,135,35,3
233,"Strawberries & Crème (Without Whipped Cream) (Grande Nonfat Milk)",230,0.2,190,52,4
234,"Strawberries & Crème (Without Whipped Cream) (Whole Milk)",260,4,190,52,4
235,"Strawberries & Crème (Without Whipped Cream) (Soymilk)",240,2,180,49,3
236,"Strawberries & Crème (Without Whipped Cream) (Venti Nonfat Milk)",310,0.2,260,69,6
237,"Strawberries & Crème (Without Whipped Cream) (Whole Milk)",350,6,260,68,6
239,"Vanilla Bean (Without Whipped Cream) (Tall Nonfat Milk)",170,0.1,160,38,4
240,"Vanilla Bean (Without Whipped Cream) (Whole Milk)",200,3.5,160,38,3
241,"Vanilla Bean (Without Whipped Cream) (Soymilk)",180,1.5,160,35,3
242,"Vanilla Bean (Without Whipped Cream) (Grande Nonfat Milk)",240,0.1,230,55,5
